,Year,Country,y_ratio,GDP,Basic_water,Eating_disorder,Employed_%,Fat,Protein,Carbohydrate
70,2013,Romania,1.7493486190724337,22197.0,99.0,0.16,12.421299989370567,107.0,103.0,495.5
71,2013,Saudi Arabia,1.755663430420712,47848.4,99.0,0.28,1.746635787805281,108.4,90.7,479.15
72,2013,Serbia,1.425065274151436,15399.8,92.6,0.15,5.5158421023598,80.7,83.0,417.675
73,2013,Slovakia,1.4573762123532414,26623.4,99.0,0.18,1.4215227969126407,117.3,69.3,380.525
74,2013,Slovenia,1.6482830385015608,32234.0,99.0,0.19,3.7146166970413743,116.7,97.3,432.125
75,2013,Solomon Islands,1.4085005903187722,2594.1,70.9,0.07,26.463736306051327,47.3,56.0,434.075
76,2013,South Africa,1.5973045822102423,14066.1,91.0,0.17,1.3942337458791796,89.3,80.7,459.12500000000006
77,2013,Spain,1.6493236212278877,35371.7,99.0,0.64,1.5694763982766364,142.3,104.0,368.325
78,2013,Sri Lanka,1.451939291736931,10990.1,88.7,0.11,11.231898366223923,45.3,62.0,481.8250000000001
79,2013,Suriname,1.511196067722556,20379.9,94.9,0.23,0.8403146383577413,80.7,63.0,447.175
80,2013,Sweden,1.6397323726196604,48462.2,99.0,0.53,0.9887382179443244,133.0,107.0,390.25
81,2013,Switzerland,1.7256997455470735,66877.2,99.0,0.54,1.8449289395965605,153.4,93.7,408.9
82,2013,Thailand,1.4525702172760997,15767.4,98.7,0.13,22.244482431688706,57.3,61.3,495.025
83,2013,Trinidad and Tobago,1.606837606837607,30313.7,97.4,0.29,1.6229497055494984,90.7,84.0,463.925
84,2013,Tunisia,1.8583150984682717,10898.4,93.6,0.21,4.6329349292140405,94.3,98.7,538.375
85,2013,Ukraine,1.657426778242678,13020.6,94.0,0.13,9.015393119100787,89.0,89.0,503.0
86,2013,Uruguay,1.6853146853146854,21786.2,98.9,0.35,4.430353604552498,104.0,87.0,462.25
87,2013,Uzbekistan,1.717308735756918,5781.2,97.1,0.11,11.365857260120476,86.4,95.0,501.85
88,2014,Afghanistan,1.3652802893309222,2102.4,58.7,0.12,8.463544959839744,38.7,58.3,420.875
89,2014,Albania,1.7054830287206266,11586.8,93.0,0.14,14.874320988762586,109.7,110.0,459.675
90,2014,Algeria,1.9117811278615295,11512.7,93.2,0.22,2.309647533913025,95.6,90.7,550.1999999999999
91,2014,Angola,1.5217654171704955,8240.3,53.5,0.14,8.720743481850898,59.4,54.7,440.9
92,2014,Argentina,1.7465016146393972,23550.1,98.9,0.35,0.1412559101718609,116.4,103.3,446.0499999999999
93,2014,Armenia,1.633315593400745,11019.8,99.0,0.13,13.554614522784108,96.7,95.7,453.975
94,2014,Australia,1.7822454308093996,47232.9,99.0,1.11,1.371042377349858,156.4,108.0,393.35
95,2014,Austria,1.885010266940452,52932.9,99.0,0.62,2.3090106387485845,165.3,106.0,440.0750000000001
96,2014,Azerbaijan,1.6540106951871658,14867.9,91.2,0.15,17.79711067646747,64.0,91.0,538.25
97,2014,Barbados,1.5291338582677163,15043.7,98.5,0.25,1.184938119898183,93.0,86.7,432.3
98,2014,Belgium,1.946070878274268,48748.6,99.0,0.47,0.4932438303304675,163.0,98.3,482.2
99,2014,Belize,1.496866096866097,7239.3,96.5,0.2,6.683155708245842,71.6,68.3,427.35
100,2014,Bosnia and Herzegovina,1.6580310880829014,12066.6,96.2,0.14,3.982877029016348,80.6,93.3,525.35
101,2014,Brazil,1.7522546419098144,15749.5,97.6,0.24,4.6566007382463805,122.4,93.3,457.0499999999999
